srcStateName,City,Year,StateCode,StateName,IntermediateRatio
Andhra Pradesh,"Kamalapuram, Town Panchayat",2025,28,ANDHRA PRADESH,1
Andhra Pradesh,"Kandukur, Municipality",2025,28,ANDHRA PRADESH,1
Andhra Pradesh,"Kanigiri, Municipality",2025,28,ANDHRA PRADESH,1
Andhra Pradesh,"Kavali, Municipality",2025,28,ANDHRA PRADESH,1
Andhra Pradesh,"Samalkot, Municipality",2025,28,ANDHRA PRADESH,1
Andhra Pradesh,"Sattenapalle, Municipality",2025,28,ANDHRA PRADESH,1
Arunachal Pradesh,"Ruksin, Town Panchayat",2025,12,ARUNACHAL PRADESH,1
Assam,"Kokrajhar, Municipality",2025,18,ASSAM,1
Assam,"Lakhipur, Municipality",2025,18,ASSAM,1
Bihar,"Fatwah, Municipality",2025,10,BIHAR,1
Chhattisgarh,Kusmi,2025,22,CHHATTISGARH,1
Chhattisgarh,"Sakari, Town Panchayat",2025,22,CHHATTISGARH,1
Chhattisgarh,"Sakti, Municipality",2025,22,CHHATTISGARH,1
Chhattisgarh,"Samoda, Town Panchayat",2025,22,CHHATTISGARH,1
Chhattisgarh,"Saragaon, Town Panchayat",2025,22,CHHATTISGARH,1
Chhattisgarh,"Saraipali, Municipality",2025,22,CHHATTISGARH,1
Chhattisgarh,"Sarangarh, Municipality",2025,22,CHHATTISGARH,1
Gujarat,"Bhachau, Municipality",2025,24,GUJARAT,1
Gujarat,"Bhanvad, Municipality",2025,24,GUJARAT,1
Gujarat,"Bharuch, Municipality",2025,24,GUJARAT,1
Gujarat,"Bhavnagar, Municipal Corporation",2025,24,GUJARAT,1
Gujarat,"Kanjari, Municipality",2025,24,GUJARAT,1
Gujarat,"Sojitra, Municipality",2025,24,GUJARAT,1
Jammu & Kashmir,"Thanamandi, Municipality",2025,1,JAMMU AND KASHMIR,1
Karnataka,"Srirampura, Town Panchayat",2025,29,KARNATAKA,1
Kerala,Kozhikode Municipal Corporation,2025,32,KERALA,1
Madhya Pradesh,Badagaon (Agar),2025,23,MADHYA PRADESH,1
