srcStateName,City,srcYear,Pradhan Mantri Awas Yojana(PMAY) Investment Amount,Pradhan Mantri Awas Yojana(PMAY) Central Assistance Sanctioned,Pradhan Mantri Awas Yojana(PMAY) Central Assistance Released,Pradhan Mantri Awas Yojana(PMAY) Houses Sanctioned,Pradhan Mantri Awas Yojana(PMAY) Houses Grounded,Pradhan Mantri Awas Yojana(PMAY) Houses Completed
A&N Island (UT),"Port Blair, Municipality",2025,95.83,5.84,2.93,376,376,151
Andhra Pradesh,"Addanki, Municipality",2025,194.41,66.53,34.02,4388,3228,2173
Andhra Pradesh,"Adoni, Municipality",2025,701.24,220.56,129.20,14605,11305,9405
Andhra Pradesh,"Akiveedu, Town Panchayat",2025,42.86,17.22,9.77,1136,963,579
Andhra Pradesh,"Allagadda, Municipality",2025,202.95,53.74,45.32,3537,3454,3266
Andhra Pradesh,"Alluru, Town Panchayat",2025,45.47,17.27,6.91,1151,1012,384
Andhra Pradesh,"Amadalavalasa, Municipality",2025,219.76,81.45,53.77,5399,4343,3139
Andhra Pradesh,Amalapuram Development Authority,2025,112.76,49.24,44.43,3283,3283,2183
Andhra Pradesh,"Amalapuram, Municipality",2025,205.65,57.39,31.52,3731,2747,2147
Andhra Pradesh,"Anakapalle, Municipal Corporation",2025,102.93,29.78,15.50,1815,1485,996
Andhra Pradesh,"Anantapur, Municipal Corporation",2025,944.93,298.70,320.76,19462,18358,7298
Andhra Pradesh,Anantapur-Hindupur Development Authority,2025,2197.33,892.50,657.99,59497,58829,31843
Andhra Pradesh,Andhra Pradesh Capital Region Development,2025,4221.74,1669.97,1521.55,111154,110196,49578
Andhra Pradesh,Annamayya Development Authority,2025,1442.46,878.63,761.66,58570,58269,38242
Andhra Pradesh,Atmakur (Nandyal),2025,151.21,59.18,39.28,3916,3646,1939
Andhra Pradesh,Atmakur (Nellore),2025,182.00,54.59,44.69,3622,3370,2269
Andhra Pradesh,"B Kothakota, Town Panchayat",2025,40.89,18.87,6.91,1258,1168,380
Andhra Pradesh,"Badvel, Municipality",2025,212.69,90.34,84.13,6017,5872,3168
